iter	alfa	beta	tmin
1	-13.000000000000000	-3.000000000000000	0.072481044532537
2	19.000000000000000	-2.000000000000000	0.070860752191952
3	15.000000000000000	-46.000000000000000	1.000000000000000
4	-1.000000000000000	-76.000000000000000	1.000000000000000
5	-80.000000000000000	25.000000000000000	1.000000000000000
6	-75.000000000000000	80.000000000000000	1.000000000000000
7	15.000000000000000	-46.000000000000000	1.000000000000000
8	-36.000000000000000	41.000000000000000	0.045389975397289
9	34.000000000000000	31.000000000000000	0.066305162943858
10	-40.000000000000000	-10.000000000000000	0.083429169266315
11	-64.000000000000000	65.000000000000000	0.077121424430839
12	-74.000000000000000	80.000000000000000	1.000000000000000
13	1.000000000000000	73.000000000000000	0.061847075149879
14	-27.000000000000000	-15.000000000000000	0.090867854757435
15	37.000000000000000	40.000000000000000	0.068452611158173
16	-71.000000000000000	12.000000000000000	0.070972981887687
17	-31.000000000000000	80.000000000000000	0.078211246192077
18	-70.000000000000000	58.000000000000000	0.080185338003113
19	-80.000000000000000	26.000000000000000	1.000000000000000
20	9.000000000000000	17.000000000000000	0.048078957465883
21	-18.000000000000000	-46.000000000000000	1.000000000000000
22	5.000000000000000	16.000000000000000	0.049191245823312
23	-38.000000000000000	45.000000000000000	0.048374136647527
24	-75.000000000000000	61.000000000000000	1.000000000000000
25	17.000000000000000	-47.000000000000000	1.000000000000000
26	-33.000000000000000	-55.000000000000000	1.000000000000000
27	-23.000000000000000	27.000000000000000	0.037666648783375
28	-23.000000000000000	66.000000000000000	0.058737981235684
29	-17.000000000000000	23.000000000000000	0.041643291227146
30	26.000000000000000	-2.000000000000000	0.070860734216346
31	-26.000000000000000	52.000000000000000	0.047476177956875
32	-28.000000000000000	-12.000000000000000	0.086440120481492
33	-13.000000000000000	51.000000000000000	0.041417430098399
34	-70.000000000000000	55.000000000000000	0.079518364129330
35	60.000000000000000	-36.000000000000000	1.000000000000000
36	-40.000000000000000	47.000000000000000	0.050595889255335
37	-10.000000000000000	39.000000000000000	0.032555631497220
38	-20.000000000000000	80.000000000000000	0.076070697557091
39	-42.000000000000000	15.000000000000000	0.050311784877943
40	80.000000000000000	11.000000000000000	1.000000000000000
41	-4.000000000000000	30.000000000000000	0.034901657662357
42	-10.000000000000000	39.000000000000000	0.032555631497220
43	-10.000000000000000	5.000000000000000	0.061778119681525
44	-42.000000000000000	15.000000000000000	0.050311784877943
45	-14.000000000000000	71.000000000000000	0.062594355623584
46	-22.000000000000000	-12.000000000000000	0.086440148428988
47	-31.000000000000000	-24.000000000000000	0.103590242884090
48	-8.000000000000000	-9.000000000000000	0.081905206094318
49	-48.000000000000000	52.000000000000000	0.058830318998055
50	58.000000000000000	-1.000000000000000	1.000000000000000
51	-51.000000000000000	77.000000000000000	0.078261741150073
52	-69.000000000000000	31.000000000000000	0.073111692632477
53	8.000000000000000	80.000000000000000	0.068049237385956
54	18.000000000000000	15.000000000000000	0.053958875251982
55	-80.000000000000000	53.000000000000000	1.000000000000000
56	23.000000000000000	50.000000000000000	0.058017607745317
57	-60.000000000000000	27.000000000000000	0.060250642003382
58	-19.000000000000000	22.000000000000000	0.042681899764831
